city,name,address,cuisine,rating,votes,cost,Latitude,Longitude
Asansol,MOMO AMRIT,"MOMO AMRIT, KAUSTAV NARAYAN GORAI, 30, G.T. ROAD, BASTIN BAZAR, ASANSOL, ASANSOL MUNICIPAL CORPORATION, PASCHIM BARDHAMAN (West Bengal), - 713301",Chinese,4.5,20,150,23.6872656,86.9702111
Asansol,Baskin Robbins,"Baskin Robbins, NEAR DURGA FOOD RAGHU KASI COMPLEX, G.T ROAD PO- USHAGRAM, ASANSOL MUNICIPAL CORPORATION, RASCHIM BARDHAMAN ( WEST BENGAL ) :- 713303","Desserts,Ice Cream",4.5,100,250,23.7065273,86.9136556
Aurangabad,Mad over Chicken,"Mad over Chicken, First floor, food court, Prozone mall, Chikalthana, Aurangabad","Barbecue,Snacks",4.5,50,200,19.8768733,75.3726757
Aurangabad,Domino's Pizza,"Domino's Pizza, Ground Floor Shop No 1 & 2 Plot no 3 TC/E1, Cidco",Pizzas,4.5,50,400,,
Aurangabad,Sai Panchavati Pav Bhaji and Pulav Center,"Sai Panchavati Pav Bhaji and Pulav Center, Trimurti Chowk, Jawahar Colony, Aurangabad","Indian,Street Food",4.6,20,100,19.8701192,75.3460337
Aurangabad,Natural Ice Cream,"Natural Ice Cream, Ahinsa Bhavan, Near Rajendra Tyre Services, Jalna Road, Akashwani, Aurangabad - 431001",Ice Cream,4.6,100,150,19.8764558,75.3451775
Aurangabad,TIRTH SAI PRASAD PURE VEG RESTAURANT,"TIRTH SAI PRASAD PURE VEG RESTAURANT, AT POST CTS NO 12503 SHOP NO B-101, 104, 106 AND 108 GROUND FLOOR NISHA BAFNA PLAZA OPP AKASHWANI  JALNA ROAD, AURANGABAD","Maharashtrian,North Indian",4.6,20,200,19.8763637,75.3424657
Aurangabad,Apsara Ice Creams,"Apsara Ice Creams, Shop no. 8&9, Motiwala Complex, Akashwani corner, Jalna road, Aurangabad-431001","Ice Cream,Desserts",4.6,100,150,19.8725225,75.375018
Aurangabad,Grameen Kulfi,"Grameen Kulfi, Shop No 1, Akashwani Rd, Bhanudas Nagar, Nyay Nagar, Aurangabad, Maharashtra 431001","Ice Cream,Desserts",4.6,50,120,19.8732171,75.3458156
Aurangabad,Nahush's Temptation,"Nahush's Temptation, Plot No 7, Ulkanagari, Near Omkareshwar Temple, opposite Ramayana Cultural Hall, Aanad Nagar, Shastri Nagar, Sindhi Colony, Aurangabad, Maharashtra 431003, India","Chinese,North Indian",4.5,20,500,19.8665612,75.3422996
Aurangabad,Chitale Xpress,"Chitale Xpress, RAYATE ENTERPRISES, Disha Square, Shop 4 & 5, beside Deogiri Nagri Sahakari Bank, Sutgirni Chowk, Garkheda, Aurangabad, Maharashtra 431009","Sweets,Snacks",4.5,50,300,19.8597213,75.3459688
Bagdogra,Cafe Aarooz,"Cafe Aarooz, Defence Colony,Panighata Road,Upper Bagdogra,West Bengal-734014","Snacks,American",4.6,20,100,26.6986114,88.3116995
Bagdogra,Tasty Mizaj,"Tasty Mizaj , PURBA RANGIA NEW RANGIA, ATHAROKHAI, MATIGARA, DARJEELING,","Indian,Biryani",4.7,20,250,26.7263382,88.3562783
Bahadurgarh,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, VEERJI ICE CREAM: PROFESSOR COLONY, OPP. PUNJABI UNIVERSITY, PATIALA, PUNJAB-147002",Ice Cream,4.6,100,300,30.3497125,76.4609198
Bahadurgarh,Charan Juice & Confectionery,"Charan Juice & Confectionery, A Tank Road, Adalat Bazaar, Patiala, Punjab","Beverages,Juices",4.5,100,200,30.3247556,76.4019738
Bahadurgarh,Baskin Robbins,"Baskin Robbins, Opposite Gurudwara Dukhniwaran Sahib, Charan Bagh, Patiala",Desserts,4.5,50,200,30.346952,76.396075
Balasore,Domino's Pizza,"Domino's Pizza, Ground Floor Extension, RK Plaza,Hospital Road, Vivekananda Marg,BALASORE,Odisha 756001",Pizzas,4.7,50,400,21.4932358,86.9370656
Balurghat,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, SURYA SEN SARANI, P.O.BALURGHAT DAKSHIN DINAJPUR, District - Dakshin Dinajpur , STATE - West Bengal",Ice Cream,4.8,100,300,25.2372834,88.7830612
Baran,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, KM SALES: COLONY HOSPITAL ROAD BARAN, Baran, Rajasthan-325205 (HUL-IA5A315P1030)",Ice Cream,4.6,20,200,25.1012882,76.5119321
Baran,Mr. M G FOOD,"Mr. M G FOOD, BACK SIDE NIGAM OFFICE, JHALAWAR ROAD BARAN","North Indian,Beverages",5,20,200,24.593906,76.1642846
Bardoli,Hotel Vrajbhumi,"Hotel Vrajbhumi, First floor, Panchshil Chambers, Opposite I.D.B.I. Bank, Gandhi Road, Bardoli, Surat, Gujarat.","Punjabi,Chinese",4.5,20,350,21.125903,73.1051252
Bareilly,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, 675/b nai basti bareilly, Ward No- 44, ZONE- 8, Bareilly, Uttar Pradesh - 243001",Ice Cream,4.6,20,300,28.3684363,79.4237432
Bareilly,Ajanta,"Ajanta, ShyamGanj Bareilly, Civil Lines, Bareilly UP 243006","Bakery,Desserts",4.5,100,100,28.3604463,79.4250259
Barnala,Ram Fast Food,"Ram Fast Food, Handaya bazar, ram bagh de back side, gali NO.3, new subhash chakki, Barnala, 148101","Chinese,Snacks",4.9,100,60,30.3819446,75.5467979
Barnala,Bake n cake,"Bake n cake, K.c road, opp Street no.8,Barnala,Punjab - 148101, Barnala 1(Barnala), Barnala, , Punjab, 148101",Bakery,4.7,20,250,30.3687772,75.5409244
Barnala,hot and fresh canadian pizza,"hot and fresh canadian pizza, VRC MALL SHOP NO 123-124 BARNALA 148101","Pizzas,Fast Food",4.9,20,250,30.3731926,75.5236928
Barnala,Food Tree,"Food Tree, SAMMA COMLEX KACHERI CHOWWK BARNALA","American,Italian",4.7,20,150,30.360709,75.5335962
Barnala,CHAMPARAN,"CHAMPARAN, GALLI NO 12 KC ROAD BARNALA,PUNJAB 148101","North Indian,Chinese",4.5,20,150,30.3692023,75.541441
Basirhat,Domino's Pizza,"Domino's Pizza, Sarat biswas Road Bachari para ,PO               PS Basirhat,Dist 24pgs (N),Pin 743411",Pizzas,4.6,20,400,22.6615194,88.8714567
Bathinda,Wrapchik,"Wrapchik, Bathinda, Punjab, India","American,Chinese",4.5,50,150,30.2149725,74.9522856
Beawar,Ashok Fruit & Juice Center,"Ashok Fruit & Juice Center, ""Near Amrit Kaul Hospital, Champa Nagar Road, Beawar, Beawar Locality, Beawar ""","North Indian,Beverages",4.5,100,100,26.1067942,74.3169544
Beawar,Roll Wale,"Roll Wale, NEAR soda shop mission ground","Fast Food,Chinese",4.5,500,200,,
Beawar,Lucky Bakers,"Lucky Bakers, Out Side Ajmeri Gate, near Ramdawara, Paras Colony, Beawar, Rajasthan 305901, India",Indian,4.6,20,100,26.0951592,74.3352858
Belgaum,Bangaluru Fruit Sales & Juice Center - RPD,"Bangaluru Fruit Sales & Juice Center - RPD, Shop No.1, R.P.D Corner, C.D deshmukh Road, Tilakwadi, Belgaum.",Beverages,4.7,20,150,15.8373706,74.5014117
Belgaum,Hotel Adarsha Palace,"Hotel Adarsha Palace, 3360/2B, College Road, Belgaum, Karnataka.","Indian,Chinese",4.5,20,250,15.863834,74.5084014
Belgaum,The Belgian Waffle Co.,"The Belgian Waffle Co., Shop# 3B, Sri Sukhsagar complex, Nehru Nagar, Near VRL Office, Belgaum-590010","Desserts,Beverages",4.5,100,200,15.8786006,74.5162452
Belgaum,NIC Natural Ice Creams,"NIC Natural Ice Creams, Shop No # 10663/E, Shetty Complex, Near Hanuman Hotel, Nehru Nagar, JNMC Road, Belgaum, Karnataka-590010","Ice Cream,Desserts",4.6,100,120,15.8841617,74.5171926
Belgaum,Grameen Kulfi,"Grameen Kulfi, Shop No # 10663/E, Shetty Complex, Near Hanuman Hotel, Nehru Nagar, JNMC Road, Belgaum, Karnataka-590010","Ice Cream,Desserts",4.7,50,120,15.8797211,74.515668
Belgaum,Natural Ice Cream,"Natural Ice Cream, CTS No.10618/B, Nehru Nagar, Belgavi, Karnataka 590010",Ice Cream,4.6,100,150,15.882637,74.5180505
Belgaum,Chai Factory,"Chai Factory, Kirti Complex, Nehru Nagar, Belgaum, Opp. Pai Foods, Belgaum, Karnataka.","Beverages,Snacks",4.6,20,220,15.8785129,74.5170727
Berhampore,The Shake Bottle,"The Shake Bottle, 81 Amar Chakraborty Road Indraprastha , Khagda","Desserts,Beverages",4.5,20,250,,
Bettiah,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, SHARMA COMMUNICATION: SHARMA COMMUNICATION, HAZARIMAL DHARAMSHALA,LAL BAZAR, BETTIAH, PASCHIM CHAMPARAN(BIHAR)-845438",Ice Cream,4.5,100,300,26.8007796,84.5051984
Bharabanki,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, Every thing shoppe Shop no 1 nagar palika market husainganj barabanki 225001","Desserts,Ice Cream",4.5,100,149,,
Bharuch,The Belgian Waffle Co.,"The Belgian Waffle Co., SHOP NO. 2, NAGAR PALIKA SHOPPING, BESIDE DOMINO'S PIZZA, CIVIL HOSPITAL ROAD, BHARUCH, Bharuch, Gujarat-392001","Desserts,Beverages",4.6,20,200,21.7026339,72.9910448
Bharuch,Domino's Pizza,"Domino's Pizza, SHOPNO.3,4&5,MUNICIPALSHOPPINGCENTRE,CIVILHOSPITALROAD,OPPOSITERELAXCINEMA,BHARUCH,392001",Pizzas,4.6,20,400,21.7057681,72.9910479
Bhatkal,Cafe down town,"Cafe down town, cafe down town azad nagar jali main road bhatkal,uttar kannada district 581320","Chinese,Desserts",4.5,20,200,13.9987725,74.53748
Bhavnagar,Rajesh Coldrinks & Ice Cream Pyali,"Rajesh Coldrinks & Ice Cream Pyali, DHAREM SHOPING CENTER SHOP NO 23 BHAGVATI CIRCLE KALIYABID BHAVNAGAR",Beverages,4.5,20,100,21.7363019,72.1389721
Bhilai,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, ""KWALITY ICE CREAM	SHOP NO 46 CIVIC CENTRE BHILAI DIST DURG C.G    	490020""","Desserts,Ice Cream",4.5,100,100,21.1811497,81.3253556
Bhilai,Natural Ice Cream,"Natural Ice Cream, 49 ,commercial complex, nehru nagar east, behind  ICICI Bank, Bhilai, CG, 490020",Desserts,4.5,100,150,21.2069442,81.3293138
Bhiwani,Grover Namkeen,"Grover Namkeen, Hansi Gate circular road opposite Nehru park","Snacks,Street Food",4.5,20,150,,
Bhopal,Chicago Pizza,"Chicago Pizza, Plot no-131, Shop no-05, Narula Complex, zone-2, Maharana Pratap Nagar, Bhopal, Madhya Pradesh, 462023",Pizzas,4.7,20,400,23.2292723,77.4358278
Bhopal,Bake n shake - MP Nagar,"Bake n shake - MP Nagar, Jyoti Cineplex Compound,Mp Nagar,Zone 1,Bhopal  462023","Bakery,Beverages",4.6,20,300,23.2333504,77.4341244
Bhopal,Natural Ice Cream,"Natural Ice Cream, Hansa Complex, 190, Service Road, Zone-I, Maharana Pratap Nagar, Bhopal, Madhya Pradesh- 462011",Ice Cream,4.5,500,150,23.2324523,77.4336273
Bhopal,Rajwadi food corner,"Rajwadi food corner, 413 shivent Anand nagar road  bhopal m p., Bhopal, Bhopal, ,  Madhya Pradesh, 462023","Indian,Chinese",4.7,50,600,23.2599333,77.412615
Bhopal,Second love,"Second love, H no. 23 Naveen nagar piplani  market barkheda bhopal m.p.,  Bhopal, Bhopal, , Madhya Pradesh,  462023","Indian,Chinese",4.7,50,350,23.2436838,77.4730653
Bhopal,Subh food. Services,"Subh food. Services, 576 avadhpuribarkheda pathani bhopal m p., Bhopal, Bhopal, Bhopal, Madhya Pradesh, 462022","Indian,Snacks",4.8,50,500,23.2599333,77.412615
Bhopal,Lassi house,"Lassi house, B765 piplani near awadpuri police  station bhopal m.p., Bhopal,  Bhopal, , Madhya Pradesh, 462022","Fast Food,Snacks",4.6,50,680,23.2436838,77.4730653
Bhopal,Fit Bites Nutrition,"Fit Bites Nutrition, SHOP NO-57/1, BHARAT NAGAR ROAD,  SHAHPURA BHOPAL","Fast Food,Healthy Food",4.6,50,250,23.2015867,77.4328389
Bhopal,Manohar Dairy-New Market,"Manohar Dairy-New Market, New Market,New Market,Bhopal","Sweets,Beverages",4.6,20,200,23.2356553,77.4008194
Bhopal,Top N Town,"Top N Town, Shop No 11, New Market, TT Nagar, Bhopal","Ice Cream,Beverages",4.5,50,150,23.2354043,77.4012043
Bhopal,Top N Town ICE CREAM,"Top N Town ICE CREAM, Block 21, Green City TRILANGA E-8 BHOPA, Bhopal, MP","Ice Cream,Desserts",4.5,50,100,23.1891047,77.4334488
Bhopal,Matka Meal,"Matka Meal, H2/403 Fortune Divine City, Misrod Hoshangabad Road Near Noble Hospital Area: Hoshangabad Road Misrod","North Indian,Thalis",4.7,20,200,22.9932848,77.590668
Bhopal,School Life cafe,"School Life cafe, Shop no.82 Avinash nagar Awadhpuri barkhera bhopal madhya pradesh 462022","Snacks,Fast Food",4.8,50,249,23.2255282,77.4942512
Bhubaneswar,The Belgian Waffle Co.,"The Belgian Waffle Co., Plot No C36, Marker Building, Saheed Nagar, Bhubaneswar Municipal Corporation, Orissa - 751007","Desserts,Beverages",4.6,100,200,20.2867713,85.847717
Bhubaneswar,THE RICE STORY,"THE RICE STORY, Satya Nagar, Bhubaneswar, Odisha 751007, India","Biryani,North Indian",4.5,20,250,20.2829928,85.8465259
Bhubaneswar,Maa Sarala Special Chat,"Maa Sarala Special Chat, ST.JOSEPH'S SCHOOL SQUARE, UNIT-9, BHUBANESWAR, Ram Mandir , Ward 35, BHUBANESWAR MUNICIPAL CORPORATION, Orissa-751001",Chaat,4.7,50,160,20.2799908,85.8435649
